Sample in Buffer,Sample in Window,TRIGGER,yq[17:0],yi[17:0],fifo3_data_Q[15:0],fifo3_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],yqk[17:0],yik[17:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
7556,7556,0,9465,-19657,-16996,-15406,0,-1409,-1125,16333,0,21362,-16081,-12912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7557,7557,0,9465,-19657,-16996,-15406,1,-1476,-1179,16333,0,21362,-16081,-12912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7558,7558,0,9465,-19657,-15618,-6302,0,-1476,-1179,16333,19120,21362,-6505,-11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7559,7559,0,9465,-19657,-15618,-6302,1,-1495,-1178,16333,19120,21362,-6505,-11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7560,7560,0,9465,-19657,-15618,-6302,0,-1495,-1178,16333,19120,21362,-6505,-11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7561,7561,0,9465,-19657,-15618,-6302,1,-1478,-1129,16333,19120,21362,-6505,-11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7562,7562,0,9465,-19657,-6909,4293,0,-1478,-1129,16333,0,21566,5292,-12247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7563,7563,0,9465,-19657,-6909,4293,1,-1436,-1044,16333,0,21566,5292,-12247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7564,7564,0,9465,-19657,-6909,4293,0,-1436,-1044,16333,0,21566,5292,-12247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7565,7565,0,9465,-19657,-6909,4293,1,-1374,-947,16333,0,21566,5292,-12247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7566,7566,0,-16081,-12912,5022,12428,0,-1374,-947,16384,0,21566,13238,-14884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7567,7567,0,-16081,-12912,5022,12428,1,-1303,-860,16384,0,21566,13238,-14884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7568,7568,0,-16081,-12912,5022,12428,0,-1303,-860,16384,0,21566,13238,-14884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7569,7569,0,-16081,-12912,5022,12428,1,-1234,-807,16384,0,21566,13238,-14884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7570,7570,0,-16081,-12912,15071,14409,0,-1234,-807,16384,0,21770,13104,-18398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7571,7571,0,-16081,-12912,15071,14409,1,-1176,-804,16384,0,21770,13104,-18398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7572,7572,0,-16081,-12912,15071,14409,0,-1176,-804,16384,0,21770,13104,-18398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7573,7573,0,-16081,-12912,15071,14409,1,-1131,-858,16384,0,21770,13104,-18398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7574,7574,0,-16081,-12912,19905,8979,0,-1131,-858,16384,13562,21770,4937,-21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7575,7575,0,-16081,-12912,19905,8979,1,-1101,-960,16384,13562,21770,4937,-21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7576,7576,0,-16081,-12912,19905,8979,0,-1101,-960,16384,13562,21770,4937,-21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,7577,0,-16081,-12912,19905,8979,1,-1085,-1084,16384,13562,21770,4937,-21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7578,7578,0,-16081,-12912,19441,-1477,0,-1085,-1084,16384,0,21770,-6905,-21748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7579,7579,0,-16081,-12912,19441,-1477,1,-1082,-1195,16384,0,21770,-6905,-21748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7580,7580,0,-16081,-12912,19441,-1477,0,-1082,-1195,16384,0,21770,-6905,-21748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7581,7581,0,-16081,-12912,19441,-1477,1,-1093,-1267,16384,0,21770,-6905,-21748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7582,7582,0,13104,-18398,16308,-11715,0,-1093,-1267,16384,0,21770,-16146,-18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7583,7583,0,13104,-18398,16308,-11715,1,-1124,-1273,16384,0,21770,-16146,-18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7584,7584,0,13104,-18398,16308,-11715,0,-1124,-1273,16384,0,21770,-16146,-18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7585,7585,0,13104,-18398,16308,-11715,1,-1178,-1194,16384,0,21770,-16146,-18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7586,7586,0,13104,-18398,13825,-16248,0,-1178,-1194,16384,0,21770,-17811,-10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7587,7587,0,13104,-18398,13825,-16248,1,-1252,-1017,16384,0,21770,-17811,-10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7588,7588,0,13104,-18398,13825,-16248,0,-1252,-1017,16384,0,21770,-17811,-10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7589,7589,0,13104,-18398,13825,-16248,1,-1332,-749,16384,0,21770,-17811,-10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7590,7590,0,13104,-18398,13876,-12457,0,-1332,-749,16384,-5972,21770,-11010,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7591,7591,0,13104,-18398,13876,-12457,1,-1402,-408,16384,-5972,21770,-11010,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7592,7592,0,13104,-18398,13876,-12457,0,-1402,-408,16384,-5972,21770,-11010,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7593,7593,0,13104,-18398,13876,-12457,1,-1445,-26,16384,-5972,21770,-11010,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7594,7594,0,13104,-18398,15951,-2296,0,-1445,-26,16384,-15074,21770,868,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7595,7595,0,13104,-18398,15951,-2296,1,-1447,360,16384,-15074,21770,868,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7596,7596,0,13104,-18398,15951,-2296,0,-1447,360,16384,-15074,21770,868,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7597,7597,0,13104,-18398,15951,-2296,1,-1398,710,16384,-15074,21770,868,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7598,7598,0,-17811,-10024,17741,8615,0,-1398,710,16325,0,21770,12489,15255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7599,7599,0,-17811,-10024,17741,8615,1,-1295,992,16325,0,21770,12489,15255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7600,7600,0,-17811,-10024,17741,8615,0,-1295,992,16325,0,21770,12489,15255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7601,7601,0,-17811,-10024,17741,8615,1,-1142,1198,16325,0,21770,12489,15255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7602,7602,0,-17811,-10024,16732,14140,0,-1142,1198,16325,0,21770,19455,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7603,7603,0,-17811,-10024,16732,14140,1,-942,1330,16325,0,21770,19455,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7604,7604,0,-17811,-10024,16732,14140,0,-942,1330,16325,0,21770,19455,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7605,7605,0,-17811,-10024,16732,14140,1,-700,1392,16325,0,21770,19455,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7606,7606,0,-17811,-10024,11682,11200,0,-700,1392,16325,19244,21770,20484,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7607,7607,0,-17811,-10024,11682,11200,1,-420,1390,16325,19244,21770,20484,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7608,7608,0,-17811,-10024,11682,11200,0,-420,1390,16325,19244,21770,20484,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7609,7609,0,-17811,-10024,11682,11200,1,-111,1338,16325,19244,21770,20484,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,7610,0,-17811,-10024,3164,1639,0,-111,1338,16325,92,22006,17584,-8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7611,7611,0,-17811,-10024,3164,1639,1,211,1256,16325,92,22006,17584,-8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7612,7612,0,-17811,-10024,3164,1639,0,211,1256,16325,92,22006,17584,-8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7613,7613,0,-17811,-10024,3164,1639,1,525,1162,16325,92,22006,17584,-8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7614,7614,0,19455,12187,-6909,-8814,0,525,1162,16384,0,22006,14302,-16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7615,7615,0,19455,12187,-6909,-8814,1,809,1072,16384,0,22006,14302,-16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7616,7616,0,19455,12187,-6909,-8814,0,809,1072,16384,0,22006,14302,-16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7617,7617,0,19455,12187,-6909,-8814,1,1053,1000,16384,0,22006,14302,-16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7618,7618,0,19455,12187,-16227,-13908,0,1053,1000,16384,0,22242,13350,-15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7619,7619,0,19455,12187,-16227,-13908,1,1255,950,16384,0,22242,13350,-15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7620,7620,0,19455,12187,-16227,-13908,0,1255,950,16384,0,22242,13350,-15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7621,7621,0,19455,12187,-16227,-13908,1,1415,919,16384,0,22242,13350,-15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7622,7622,0,19455,12187,-22810,-10540,0,1415,919,16384,14698,22242,15060,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7623,7623,0,19455,12187,-22810,-10540,1,1531,903,16384,14698,22242,15060,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7624,7624,0,19455,12187,-22810,-10540,0,1531,903,16384,14698,22242,15060,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7625,7625,0,19455,12187,-22810,-10540,1,1604,899,16384,14698,22242,15060,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7626,7626,0,19455,12187,-25283,-544,0,1604,899,16384,0,22242,17483,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7627,7627,0,19455,12187,-25283,-544,1,1629,905,16384,0,22242,17483,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7628,7628,0,19455,12187,-25283,-544,0,1629,905,16384,0,22242,17483,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7629,7629,0,19455,12187,-25283,-544,1,1600,922,16384,0,22242,17483,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7630,7630,0,13350,-15369,-22931,10439,0,1600,922,16384,0,22242,17817,13852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7631,7631,0,13350,-15369,-22931,10439,1,1506,949,16384,0,22242,17817,13852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7632,7632,0,13350,-15369,-22931,10439,0,1506,949,16384,0,22242,17817,13852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7633,7633,0,13350,-15369,-22931,10439,1,1336,990,16384,0,22242,17817,13852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7634,7634,0,13350,-15369,-15892,16264,0,1336,990,16384,0,22242,14168,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7635,7635,0,13350,-15369,-15892,16264,1,1077,1046,16384,0,22242,14168,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7636,7636,0,13350,-15369,-15892,16264,0,1077,1046,16384,0,22242,14168,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7637,7637,0,13350,-15369,-15892,16264,1,726,1111,16384,0,22242,14168,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7638,7638,0,13350,-15369,-5584,13730,0,726,1111,16384,12478,22242,6447,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7639,7639,0,13350,-15369,-5584,13730,1,300,1174,16384,12478,22242,6447,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7640,7640,0,13350,-15369,-5584,13730,0,300,1174,16384,12478,22242,6447,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7641,7641,0,13350,-15369,-5584,13730,1,-154,1223,16384,12478,22242,6447,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7642,7642,0,13350,-15369,5111,4206,0,-154,1223,16384,-7448,22242,-3587,-5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7643,7643,0,13350,-15369,5111,4206,1,-578,1249,16384,-7448,22242,-3587,-5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7644,7644,0,13350,-15369,5111,4206,0,-578,1249,16384,-7448,22242,-3587,-5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7645,7645,0,13350,-15369,5111,4206,1,-918,1249,16384,-7448,22242,-3587,-5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7646,7646,0,14168,13828,12471,-7347,0,-918,1249,16354,0,22242,-13615,-13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7647,7647,0,14168,13828,12471,-7347,1,-1138,1232,16354,0,22242,-13615,-13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7648,7648,0,14168,13828,12471,-7347,0,-1138,1232,16354,0,22242,-13615,-13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7649,7649,0,14168,13828,12471,-7347,1,-1215,1213,16354,0,22242,-13615,-13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7650,7650,0,14168,13828,13460,-15178,0,-1215,1213,16354,0,22242,-21442,-13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7651,7651,0,14168,13828,13460,-15178,1,-1141,1201,16354,0,22242,-21442,-13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7652,7652,0,14168,13828,13460,-15178,0,-1141,1201,16354,0,22242,-21442,-13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7653,7653,0,14168,13828,13460,-15178,1,-915,1191,16354,0,22242,-21442,-13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7654,7654,0,14168,13828,7495,-15645,0,-915,1191,16354,12344,22242,-25463,-4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7655,7655,0,14168,13828,7495,-15645,1,-548,1177,16354,12344,22242,-25463,-4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7656,7656,0,14168,13828,7495,-15645,0,-548,1177,16354,12344,22242,-25463,-4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7657,7657,0,14168,13828,7495,-15645,1,-78,1153,16354,12344,22242,-25463,-4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7658,7658,0,14168,13828,-2690,-8652,0,-78,1153,16354,-100,22362,-24724,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7659,7659,0,14168,13828,-2690,-8652,1,422,1118,16354,-100,22362,-24724,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7660,7660,0,14168,13828,-2690,-8652,0,422,1118,16354,-100,22362,-24724,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7661,7661,0,14168,13828,-2690,-8652,1,867,1079,16354,-100,22362,-24724,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7662,7662,0,-21442,-13269,-11954,2847,0,867,1079,16383,0,22362,-19021,15865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
